personLabel	birthDate	startDate	groupBirthPlaceLabel	groupGenreLabels	groupLabelLabels
Robin Schulz	1987-04-28	2007	Osnabrück	Deep house|Tropical house	Warner Music Group
Nick Van Eede	1958-06-14	1978		Pop rock	
Ni Ni Khin Zaw	1991-08-31	2008			
Siddharth Haldipur		2002		Bollywood	
Justin Broadrick	1969-08-15	1982	Birmingham	Ambient music|Drone metal|Electronica|Experimental music|Grindcore|Industrial metal|Noise music|Post-metal|Shoegazing	Avalanche Recordings|Ghostly International|Hydra Head Records
Porta (rapper)	1988-07-02	2006	Barcelona	Rap music	
Mihály Víg	1957-11-21		Budapest		
Harpdog Brown	1962-01-28	1982	Edmonton	Blues|Canadian blues|Chicago blues	
Alison Limerick		1980		Dance music|Dance-pop|House music|Jazz|Pop music|Soul music	Arista Records|BMG
Louis Tillett		1977		Acoustic music|Garage rock|Psychedelic rock	Festival Records
Teresa Brewer	1931-05-07	1949	Toledo, Ohio	Jazz|Traditional pop music	Columbia Records|Coral Records|London Records|Philips Records|RCA Records
Mark Yamanaka		2003	Mililani, Hawaii	Country music|Folk music|Hawaiian music	
Margaret Glaspy		2013	Sacramento, California	Folk pop|Indie folk|Singer-songwriter	ATO Records
Dennis Bovell	1953-05-22	1968		Dub music|Lover's rock|Post-punk|Reggae	
Gongchan	1993-08-14	2011	Suncheon	K-pop	
Chris Douglas	1974-08-04	1992		Ambient music|Avant-garde music|Electro-acoustic|Electronic music|Experimental music|Industrial music|Intelligent dance music|Musique Concrete|Noise music	Dial Records (1998)|Polyrhythmic|Shitkatapult
Trevor MacGregor	1975-05-09	1997		Indie rock|Punk rock	RCA Records
Jeff Arwadi		1992		Ambient music|Avant-garde metal|Electronic music|Extreme metal|Progressive metal|Progressive rock	
Michael Speaks		1995	Benton Harbor, Michigan	Gospel music|R&B music|Soul music	
David Knight (musician)	1978-10-24	2000			
Antonio Vega (singer)	1957-12-16		Madrid	Alternative rock|Indie pop|Indie rock	
Franklin E. Morris					
Alison Gold	2002-05-09	2012	Fairfax, Virginia	Pop music	
Lukas Rossi	1976-12-21			Pop rock|Rock music	
Bucky Baxter		1986		Alternative country|Country music|Rock music	
Joey Santiago	1965-06-10	1986	Manila	Alternative rock	4AD
Marcie Bolen	1977-10-28	1997		Alternative rock|Indie rock	
Aaron Bruno	1978-11-11	1999	Los Angeles	Alternative dance|Alternative rock|Electronic rock|Indie rock|Industrial rock	
JJ Lawhorn		2010		Country music	Average Joes Entertainment
Edwin Hawkins	1943-08-18	1960	Oakland, California	Gospel music	Buddah Records|Myrrh Records
Kippi Brannon		1981	Nashville, Tennessee	Country music	Curb Records|MCA Records|Universal Records
Artie Shaw	1910-05-23	1925	New York City	Big band music|Swing music	
Sharda Rajan Iyengar		1965			
Alva Noto			Chemnitz	Electronica|Glitch (music)|Microsound	Mille Plateaux (record label)|Raster-Noton
Trevor Guthrie	1973-02-11	1993	North Vancouver (city)	Dance music|Pop music|Rock music	Interscope Records|Metro-Goldwyn-Mayer
Amanda Stern					
Dave Rowntree	1964-05-08	1988		Britpop|Indie rock	
Ray Pohlman	1930-07-22				
Bashir Ahmad (singer)	1940-04-12	1960	Kolkata	Ghazal|Playback singing	
Randy Piper	1953-04-13	1975	San Antonio	Heavy metal music	
Stanley Turrentine	1934-04-05	1959	Pittsburgh	Bebop|Hard bop|Jazz blues|Soul jazz	Blue Note Records|CTI Records|Fantasy Records|Impulse! Records|Prestige Records
Nicoleta Dara	1993-05-22	2000	Telenești	Pop music|Pop rock	Independent record label
J.P. Pennington	1949-01-22	1963	Berea, Kentucky	Country music	MCA Records
Nili Brosh	1988-08-13	2009		Hard rock|Heavy metal music|Tribute act	
Dale Ann Bradley					Compass Records|Doobie Shea Records
Luka (singer)	1979-06-26	2003		Pop music	Sony Music|Warner Music
A Grape Dope		1990		Dub music|Electronica|Indie hip hop|Instrumental hip hop|Jazz|Post-rock|Progressive rock	
Josey Wales				Dancehall|Deejay (Jamaican)|Reggae	
Ion Suruceanu	1949-09-09	1968			
El Sevilla	1970-06-10	1994	San Juan de Aznalfarache		Dro Records
Leapy Lee	1939-07-02	1968		Country Music	Decca Records|MCA Records
Greg Brown (folk musician)	1949-07-02	1967	Fairfield, Iowa	Folk music	Red House Records
Miles Hunt	1966-07-29	1985	Birmingham		Polydor Records
Paco Arespacochaga	1971-07-21	1986	Manila	Original Pilipino Music|Pinoy pop|Pinoy rock	
Kaya Stewart	2000-02-28	2015		Electronic dance music|Pop music	Warner Bros. Records
Terry Kirkman	1939-12-12		Salina, Kansas		
John Morton (composer)					
Bernadette (singer)	1959-03-01			Pop music	
Halca	1988-06-11	2009	Okinawa, Okinawa	Heavy metal music	Sony Music Entertainment Japan
Dina Bajraktarević	1953-03-19	1977	Doboj		
Tōsha Meishō		1963	Tokyo		
Calvin Keys	1943-02-06	1969	Omaha, Nebraska	Jazz|Soul jazz	Black Jazz Records|Wide Hive Records
H-Wonder	1968-09-23	1995	Funabashi, Chiba	J-Pop	
April Verch		1992			
Paul Wall	1981-03-11	1998	Houston	Hip hop music	RED Distribution|Sony Music|Swishahouse
Jean Ven Robert Hal	1970-05-11	1994		Ambient music|Electronic music|Instrumental|Krautrock|New-age music|Space music|Synthpop	Independent record label
Ambroise Thomas			Metz		
Pierrette Alarie	1921-11-09	1938	Montreal		
Charli XCX	1992-08-02	2008	Cambridge	Dance-pop|Electropop|Pop punk|Synthpop	Asylum Records|Atlantic Records|Iamsound Records
Ingeborg Danz			Witten		
Bishop Nehru	1996-08-26	2009		Hip hop music	Mass Appeal Records
Xavier Privas	1863-09-27				
Alison Mosshart	1978-11-23	1995	Vero Beach, Florida	Blues rock|Garage rock|Indie rock|Post-punk revival|Psychedelic rock	
Big Scoob		1998		Gangsta Rap	Strange Music
Big Joe Maher		1980		Electric blues|Rhythm and blues	
Charles Gross					
Ichiro Yamaguchi	1980-09-08	1998	Otaru	Electronic music|Pop music|Rock music	
Mohammad Hashem Cheshti				Klasik	
Hemango Biswas					
Paul Geary	1961-07-24		Medford, Massachusetts	Glam metal|Heavy metal music	
Lina Hedlund	1978-03-28			Music|Pop music	
Hartmann von An der Lan-Hochbrunn	1863-12-21				
Johnny McDaid	1976-07-24	1994	Derry	Alternative rock|Dance music|Indie rock|Pop music	Universal Music Group|Vandit
Benjamin Clapp	1977-10-13	1993			
Gabriela Gunčíková	1993-06-27	2011		Pop music|Rock music	Universal Music Group
Stonebwoy		2009		Afro pop music|Dancehall|Hiplife|Reggae	VP Records
Ruth B	1995-07-02	2013	Edmonton	Pop music	Columbia Records
Jim Reeves	1923-08-20	1948		Blues|Country music|Gospel music|Nashville sound|Western Swing	RCA Victor
John Webster (musician)		1978			
Dave Padden	1976-02-13			Groove metal|Industrial metal|Progressive metal|Thrash metal	
Nekro G	1983-09-20	1998		Hip hop music|West coast rap	
Simon Wilkinson (composer)	1972-02-02	2001		Alternative rock|Ambient music|Drone music|Electronic music|Production music|Soundtrack|Space music|Trailer music	
Damodar Hota				Hindustani Classical Music	
Jeremy Vanderloop	1988-04-28	2010		Christian rock|Contemporary Christian music|Contemporary worship music|Indie rock	
Wil-Dog Abers		1998			
Blackbear	1990-11-27				
"Riley ""Special"" Wallace"	1983-01-20	2007		Hip hop music	EMI|Universal Music Group
Guggi			Dublin	Gothic rock|Post-punk	
Pelle Carlberg	1969-10-21	2005		Acoustic music|Indie pop	Labrador Records
Seyi Shay	1985-12-21	2001		African popular music	
Valentino Urbani		1707	Udine		
Park Hyo-shin	1981-12-01	1999	Seoul	Ballad|K-pop|R&B	
Pam Bricker	1954-07-07			Electronica|Folk music|Jazz|Rock music|Trip hop	
Asif Sinan		2012	Karachi	Indian classical music|Jazz	
Barbad			Jahrom		
David Feldman (musician)	1977-12-29	1998	Rio de Janeiro	Bossa Nova|Jazz	
Katerina Kazelis	1977-03-04		Malmö		
Eugene McGuinness	1985-08-11	2007		Indie rock	Domino Records
Chuck Suchy					
R. Carlos Nakai	1946-04-16	1982	Flagstaff, Arizona	Native American music	
Paul D'Amour	1967-05-12	1985	Spokane, Washington	Alternative metal|Alternative rock|Experimental rock|Hard rock|Industrial metal|Progressive metal	
Laurie Beebe Lewis	1954-11-05		Ludington, Michigan		
Derek Holman					
Özkan Uğur	1953-10-17	1971	Istanbul	Pop music	
Bada (singer)	1980-02-28		Bucheon		
Aida Nikolaychuk	1982-03-03	2011	Odessa	Electronic music|Pop music|Pop rock	
Redinho				Ambient music|Electronic music|Funk music|Hip hop music|Pop music	Numbers (record label)
Antoine Aureche	1981-12-04		Annecy	Electro (music)|Experimental music|Progressive rock	
Melody (Japanese singer)	1982-02-24	2003	Honolulu	J-pop	Toy's Factory
Giovanni Antonio Pandolfi Mealli	1624-12-22				
Ryan Toby	1976-11-26	1992			
Rob Kelly (rapper)		2003		Hip hop music	
Daniel Carter (LDS composer)		35		Religious music	
Ryo Owatari	1972-04-04	1999	Yokohama	Japanese pop	Avex Trax
Brownie McGhee	1915-11-30		Knoxville, Tennessee	Country blues|East Coast blues|Folk-blues|Piedmont blues|Roots revival	
Krissel Valdez	1990-10-10	2010	Davao City	Pop Music	Star Magic|Star Records
Byron Roberts		1988		Black metal|Death metal	Nuclear Blast
Pompeo Cannicciari			Rome		
Mike Garson	1945-07-29	1964	New York City	Ambient music|Experimental Music|Folk music|Funk|Industrial music|Instrumental music|Jazz|Rock music|Techno music	
Pierluigi Castellano		1982	Rome	Ambient music|Contemporary classical music|Experimental rock|Jazz	
Bobbye Hall					
Alex Gaskarth	1987-12-14	2002		Alternative rock|Pop punk|Pop rock	Emerald Moon Records|Hopeless Records|Interscope Records
Jimmy Bruno	1953-07-22	1972		Jazz	Concord Records
Andrea Reinkemeyer					
Kaori Futenma	1973-09-23	1991	Nakagusuku, Okinawa	Anime|Pop music|Ryukyuan music	King Records (Japan)|Teichiku Records
Ben Prunty		2000		Electronic music	
Aneeka	1985-08-18			Pop music|Rhythm and blues	
Luca Hänni	1994-10-08	2012		Eurodance|Pop music	
Dave Walker	1945-01-25	1960		Blues|Heavy metal music|R&B	
Ravi Shukla	1983-11-03				
Milford Graves	1941-08-20			Avant-garde jazz|Free jazz|Jazz|World music	ESP Disk|Fontana Records|Prestige Records|RCA Records|Tzadik Records
Paul Dunlap	1919-07-19	1950	Springfield, Ohio	Film score|Soundtrack	
Bart Ramsey	1954-11-03	1978		Folk rock|Gypsy Jazz|Jazz	
Avram Fefer		1990			
Jarle Bernhoft	1976-06-21	2002			
Jan Wijn			Amsterdam	Contemporary classical music	
Clara Mannes	1869-12-12		Wrocław		
Lucien Boyer	1876-01-20				
Sture Nordin	1933-11-11		Gothenburg	Jazz	
Milton Ager	1893-10-06		Chicago	Popular music	
The Lonesome Rhodes					
Squarepusher	1975-01-17	1994		Acid techno|Ambient music|Breakbeat|Breakcore|Drill 'n' bass|Drum and bass|Intelligent dance music|Jazz	Nothing Records|Rephlex Records|Warp Records|Worm Interface
Kariné Poghosyan					
Michel Esteban	1951-05-07	1973			
Mehrzad Marashi	1980-09-20	2006	Tehran	Pop music	
Minoru Niihara	1960-03-12	1980	Osaka	Heavy metal music|Rock (music)	
Jim Ed Brown	1934-04-01	1954	Sparkman, Arkansas	Country music	RCA Victor
Linda McCartney	1941-09-24	1965	New York City		
Don Ross (guitarist)	1960-11-19	1986	Montreal	Fingerstyle guitar|New Acoustic Music	Candyrat Records|Duke Street Records|Narada Productions|Sony Music Entertainment
Big Narstie	1985-11-16	2006		British hip hop|Grime music	
Aaron Carter	1987-12-07	1997	Tampa, Florida	Hip hop music|Pop music	Edel Music|Jive Records|Sony BMG|Zomba Label Group
Riz Story	1976-05-19	1991			RoadRunner Records
Michael Hossack	1946-10-17		Paterson, New Jersey	Rock music	
Satoko Fujii	1958-10-09		Tokyo	Jazz	
Soren Bryce		2015		Alternative rock|Electronic music	
Voli (rapper)				Rap music	
DJ Richie Rich		1985		Hip hop music	Columbia Records|Def Jam Records
Ellie Goulding	1986-12-30		Hereford		
Conrad Keely	1972-05-15	1994		Rock music	Interscope Records|Merge Records|Superball Music
Teddy Stauffer	1909-05-02			Jazz	
Gupz Sehra	1988-09-20	2013	Delhi	Bhangra (music)|Desi Hip Hop|Punjabi language|R&B	T-Series
Eneas Perdomo	1930-07-11				
Lolo (singer)	1987-12-27	2002	Jackson, Tennessee	Alternative rock|Funk|Pop music|Soul music	DCD2 Records|Island Records|Universal Music Group
Jade Louise	1983-06-15	2007			
François Bourassa (musician)			Montreal	Jazz	
Wilfred Gibson	1942-02-28			Classical music|Rock music	Harvest Records
Bobby Vee	1943-04-30	1959	Fargo, North Dakota	Pop music|Rock and roll	Liberty Records
Sonny Rhodes	1940-11-03	1958		Blues|Delta blues	Evidence Records|Galaxy Records|Ichiban Records|Stony Plain Records
Héctor García (guitarist)	1930-11-19				
Cyril J. Mockridge	1896-08-06				
Marty James		2000		Hip hop music|Pop music|Soul music	Avatar Records|Grand Royal Records|Island Def Jam|Mercury Records
Mark Ritsema	1962-03-08	1979	Amsterdam	Post-punk	
John Oates	1948-04-07	1966	New York City	Blue-eyed soul|Bluegrass music|Philly soul|Pop rock|Rhythm and blues|Soft rock|Soul music	Arista Records|Atlantic Records|Epic Records|RCA Records
Elena Ionescu	1988-05-17	2006	Caracal, Romania	Latin American music|Pop music	
Pierre Lalonde	1941-01-20		Montreal		
Carl Martin (musician)	1906-04-01	1934		Country blues|East Coast blues|Piedmont blues	
Mark Boyce (singer)		1990		Pop music	
Christine Ott		1995		Art music|Avant-garde music|Classical crossover|Contemporary classical music|Experimental music|Free improvisation	
Lil' Kim	1974-07-11	1994	New York City		
Teresa Salgueiro	1969-01-08	1986		Fado|World music	
Patten (band)		2006		Electronic music|Experimental music	Warp Records
Prudence Johnson				Folk music|Jazz music	Red House Records
Killa Sin		1995	Staten Island	Hip hop music	
Pink (singer)	1979-09-08	1995		Contemporary R&B|Pop music|Pop rock	Arista Records|Jive Records|LaFace Records|Legacy Recordings|RCA Records
Ha Dong-kyun	1980-06-28	2002		Contemporary R&B	
Shigeaki Kato	1987-07-11	1999		J-pop	Johnny's Entertainment
Chris Laurence	1949-01-06			Jazz	
Feloni		2005	Detroit	Alternative music|Hip hop music|Rap|Southern rap	
Mark Breeze		1996		Happy Hardcore|UK Hardcore	Futureworld|Infinity Recordings
Richey McCourt	1981-05-11	2013		Dance-pop|Electropop|Pop music|Pop rock	
Tanner Wayne	1988-05-18	2006		Emo|Hardcore punk|Post-hardcore|Screamo	Equal Vision Records|Kung Fu Records|Uprising Records|Warner Bros. Records
Erin Enderlin					
Kurt James		1985		Heavy metal music|Jazz fusion	
Jim Mundy		1973		Country music	ABC Records
Leny Andrade	1943-01-26		Rio de Janeiro		
Helen Cornelius	1941-12-06	1975	Monroe City, Missouri	Country music	Dot Records|MCA Records|RCA Victor
Bessie Tucker		1928	Rusk, Texas	Classic female blues|Country blues|Texas blues	Victor Talking Machine Company
Lilia Vera	1951-10-19	1972	Caracas	Music of Venezuela	
Brielle Daniele Edborg	1995-06-19	2010	Jamestown, New York		
Max Boyce	1943-09-27	1971		Folk music	EMI
Emily Lazar					
Gábor Gabos			Budapest		
Yvonne Lyon		1997			
Pennjamin Bannekar	1984-01-11		Grand Rapids, Michigan	Hip hop music|Soul music	
Hermeto Pascoal	1936-06-22	1950		Forró|Jazz	
Kasturi Shankar	1950-11-01	1962	Mysore	Devotional song|Filmi|Folk music|Light music|Sugama Sangeetha	
Marie Cantagrill				Classical music	
Bonnie Pink	1973-04-16	1995	Kyoto		
Antara Chowdhury	1991-10-23		Kolkata		Megaphone|Saregama|Times Music
Bob Hartman	1949-12-26	1972		Contemporary Christian music|Rock music	
Dean Geyer	1986-03-20	2006	Johannesburg	Pop rock	Sony BMG
Busbee			Walnut Creek, California		
Lenny McBrowne	1933-01-24	1953	Brooklyn	Hard bop|Jazz|Soul jazz	Pacific Jazz Records|Riverside Records
Nita Bahtiri	1993-02-26	2011	Pristina	Pop music|R&B	
Glenn Letsch	1949-06-23			Hard rock|Instrumental rock	
Gloria Gaither	1942-03-04	1962	Battle Creek, Michigan	Christian music	
Lillian Goodner			Montgomery, Alabama		
Jacquie Lee	1997-06-25	2013		Blues rock|Pop music	Atlantic Records
Wilma Burgess	1939-06-11	1962		Country music	Decca Records|RCA Records|United Artists Records
Mitzie Collins	1941-08-29	1977		American folk music|Traditional music of the United Kingdom	
Victoria Kimani	1985-07-28	2009	Los Angeles		
Idaira	1985-03-14	2005	San Cristóbal de La Laguna	Pop music|R&B	Movistar
Obdulio Morales	1910-04-07	1922	Havana	Afro-Cuban music	Panart|Victor Talking Machine Company
Joshua Tillman	1981-05-03	2004		Folk rock|Indie rock	Bella Union|Sub Pop|Western Vinyl|Yer Bird
Ryutaro Morimoto	1995-04-06	2004			Johnny & Associates
Alan Dargin	1967-07-13			Indigenous Australian music	
Mary Lu Zahalan				Rock music	
Polina Gagarina	1987-03-27	2003	Saratov	Pop music	
Maggie Lindemann	1998-07-21	2015	Dallas		
Hridaynath Mangeshkar	1937-10-26	1955	Mumbai	Folk music|Indian classical music	
DavidB	1988-05-31	2010			
Florence Sutro	1865-05-01				
Andre Barreau		1980		Pop music|Rock music	
Lady Grizel Baillie	1665-12-25				
Mr. Messiah	1988-10-27	2008		Bassline (dance music)|Breakcore|Downtempo|Dubstep|Glitch music|Intelligent dance music|Jungle|UK Garage	Automation Records
Elliott Power	1989-11-21	2013		Electronic music	Mo'Wax
Wayne Rhoden		1982		Kindie rock	
Melvin Williams (musician)	1953-07-21	1988		Gospel music|Traditional black gospel	
"Ernest ""Doc"" Paulin"	1907-06-22	1910		Jazz	Folkways Records|Icon Records
Coline Creuzot			Houston	Pop music	Sony ATV
Emerson Windy		2012			
John Renbourn	1944-08-08	1961		Folk baroque|Folk music|Folk rock	
MoJo	1952-08-24	1978		Anison	Columbia Music Entertainment
Perla (singer)	1952-03-17	1970			
Lene Alexandra	1981-10-29	2007		Pop music	Sony Music
Rokia Traoré	1974-01-26	1997	Bamako	World Music	
El Potro de Sinaloa	1977-11-19	1990	Culiacán	Banda music|Regional Mexican	Machete Music
Christian Ingebrigtsen	1977-01-25	1998		Pop music	
Dave Sitek	1972-09-06			Indie rock	4AD|Interscope|Touch and Go Records
MoShang		2004		Chill-out music|Downtempo	
Dave Meros	1956-02-08	1978	Salinas, California	Progressive rock|Psychedelic rock	
Benga (musician)	1986-11-28	2002			
Mohammad-Reza Darvishi					
Zola Jesus	1989-04-11	2006		Electronic music|Synthpop	Mute Records|Sacred Bones Records|Troubleman Unlimited
Paul Lewis (composer)					
Wade Hemsworth	1916-10-23		Brantford	Folk music	
Andrew McMahon	1982-09-03	1998		Alternative rock|Indie rock|Pop punk	Vanguard Records
Jani Kervinen		2003		Trance music	
Diunna Greenleaf	1957-10-06	1990	Houston	Texas blues	CD Baby
John D. Kendall					
Yianna Katsoulos	1960-09-16	1986		Pop music	
Trisha Yearwood	1964-09-19	1989	Monticello, Georgia	Country music	Big Machine Records|MCA Nashville Records|RCA Records Nashville
Adam Bałdych	1986-05-18	1999	Gorzów Wielkopolski	Jazz	
Dave Griffiths (musician)	1983-11-21	1996		Christian rock|Contemporary Christian music|Contemporary worship music|Pop rock	
Florence Welch	1986-08-28	2006		Art pop|Art rock|Baroque pop|Indie pop|Indie rock|Soul music	Iamsound Records|Island Records|Moshi Moshi Records|Republic Records|Universal Republic Records
Elfi von Dassanowsky	1924-02-02	1942	Vienna		
Sungha Jung	1996-09-02	2006	Cheongju		
Mick Sweda	1960-04-18	1980			Capitol Records|Warner Bros. Records
Chico Freeman	1949-07-17		Chicago	Jazz	
Mickey Raphael		1972			
Sunitha Sarathy		2002		Classical music|Gospel music|Playback singer	
Matt Worobec		1995		Alternative rock|Hard rock|Pop punk|Punk rock|Reggae|Southern rock	Wind-Up Records
"Tarik ""Rvssian"" Johnston"		2007		Dancehall|Reggaeton	
Karima Francis	1987-04-28				Universal Music Group|Vertigo Records
James Gardner (musician)	1962-06-01	1990	Liverpool	Breakbeat|Electronica	
Gavin Bryars	1943-01-16				
Bless (rapper)	1983-02-10	2001		Hip hop music|Pop Rap|Rap music|Rhythm & Blues	
Andy Anderson (actor)	1947-07-18		Lower Hutt		
Al Di Meola	1954-07-22	1974	Jersey City, New Jersey	Jazz fusion|Latin jazz|World fusion	Columbia Records|Milestone Records|Telarc International Corporation|Tomato Records
Jaramar	1954-08-03			World Music	
Melleny Melody	1969-05-12	1978	Toronto		
Philipp Poisel	1983-06-18	2008	Ludwigsburg		Grönland
Iván Joy	1975-12-03				
Fabio Frizzi	1951-07-02		Bologna	Film score	
Christina Metaxa	1992-04-04	2008	Limassol	Pop music	
Benny Peyton					
Kirito	1972-02-24	1992	Sapporo	Rock music	
Samantha Sang	1951-08-05	1966	Melbourne	Pop music	EMI|HMV|Kama Sutra Records|Private Stock Records|United Artists Records
Yvette Giraud	1916-09-16			Traditional pop music	
Shelly Blake-Plock	1974-10-08	1995	Baltimore	Avant|Experimental music	
Prema (musician)				Funk|Rhythm and blues	
Sharon Redd	1945-10-19	1967		House Music|Post-disco|Urban contemporary	Prelude Records (record label)|United Artists Records
Maximilian Maksakov			Chernivtsi		
David Hodges	1978-12-05	1999	Little Rock, Arkansas	Alternative rock|Christian (music)|Electronica|Pop music|Rock music	Epic Records
Joey Allcorn	1980-11-03	1998	Columbus, Georgia		
Gregg Bissonette	1959-06-09		Detroit	Jazz|Pop music|Rock music	
Vicki Sue Robinson	1954-05-31	1970		Disco|Pop music	Ariola Records|Prelude Records|RCA Records|RSO Records
Shay Raviv	1982-05-10			Electronic music	
Marshal Manengkei	1949-03-09	1970		Disco music|Pop music|Soul music	
Aline Lahoud				Pop music|Soul music	
Dave McClain (drummer)	1965-10-22		Frankfurt|Wiesbaden	Groove metal|Heavy metal music|Nu metal|Speed metal|Thrash metal	
Lori Balmer				Country music|Easy listening|Pop music	Polydor Records|Pye Records|RCA Records
Luigi Morleo	1970-11-16			Folk music|Jazz	
Hüseyin Sermet			Istanbul		
Pitbull (rapper)	1981-01-15	2001	Miami		
Danny L Harle		2010		Electronic music|Modern classical	Columbia Records|PC Music
Berton Averre	1953-12-13			Rock music	Capitol Records
Chico César	1964-01-26	1991		Avant-garde music|Folk music|Forró|Frevo|Jazz fusion|Música popular brasileira|Orchestra|Reggae|World music	
Emre Altuğ	1969-04-14	1999		Dance-pop|Pop music|Pop rock	
Ayah Marar	1980-09-20	2004	Amman	Dance music|Drum and bass|Pop music	Hospital Records|Sony Music Entertainment|Transmission Recordings
J. Hill					
Linda Eder	1961-02-03		Tucson, Arizona		
Willis Conover	1920-12-18		Buffalo, New York		
Nicole Morier	1982-01-12	2002		Dance-pop|Electropop|Pop music	
Ken Munshaw		1995		Country music	Duke Street Records|EMI
Jason Roberts (guitarist)		1997	Opelika, Alabama	Country rock|Folk rock|Indie rock|Psychedelic folk	Blackland Records
Alyssa Mendonsa		2010	Delhi	Filmi	
Dennis Berry	1921-08-21	1939		Jazz|Light music	
Steinar Ofsdal	1948-10-04			Jazz	
Trevor Peres	1969-07-25	1984		Death metal	
Attila the Stockbroker	1957-10-21	1970		Folk punk|Punk poetry|Punk rock	Cherry Red Records|Probe Plus
Frank Warner (folklorist)	1903-04-05	1924	Selma, Alabama	Traditional folk music	Elektra Records
Besim Bey				Ottoman classical music	
Leo de Castro		1968			
Valentina Dimitrova	1988-07-18				
Jorge Celedón	1968-03-04	1993		Vallenato	Sony BMG Music Entertainment
Ken Page	1954-01-20		St. Louis		
Supastition		2002	Charlotte, North Carolina	Hip hop music	
Oscar Brown	1926-10-10	1960	Chicago	Jazz	Atlantic Records|Columbia Records|Fontana Records|RCA Victor
Craig Porteils		1980		Country music|Dance music|Hard rock|Heavy metal music|Pop music|Rhythm and Blues|Rock music|Soul music	
Jay Migliori	1930-11-14		Erie, Pennsylvania	Jazz	
Zeid Hamdan		1990		Arabic|Electronica|Trip hop	
Max Emanuel Cenčić	1976-09-21	1992	Zagreb		
Tristan D	1988-03-07	2006		Trance music	
Rik Waller		2001		Pop music	EMI
Aaron Barrett	1974-08-30		Evansville, Indiana	Alternative rock|Punk rock|Ska punk|Third wave ska	
Kirk Degiorgio		1990		Broken beat|Electronic music	R&S Records
Stevie Salas	1963-11-17	1985			BMG|EMI|Iguana|Island Records|PolyGram|Pony Canyon|Sony|Surfdog
Ahmad (rapper)	1975-10-12	1993	Los Angeles	Hip hop music	EMI|Giant Records (Warner)|Gotee Records|Interscope Records|Reprise Records|Universal Music Group|Warner Bros. Records
Seventia	1989-05-05	2009		Pop music	
Charles Rinker					
Ritwik Sanyal	1953-04-12	1975		Dhrupad|Hindustani classical music	
Sallie Holman	1849-06-24	1850	Lynn, Massachusetts	Opera	
Tuomo Lassila	1965-03-06	1984		Heavy metal music|Instrumental rock|Neo-classical metal|Power metal|Progressive metal	
Blumio	1985-02-16		Hilden	Hip hop music	
Leeroy Stagger	1982-10-28	1998		Alternative country|Rock music	Boompa Records
Ben Ely	1970-09-13	1993	Brisbane	Alternative rock|Electronica|Hip hop music|Rock music	Valve Records|Warner Bros. Records
Johnny Vidacovich				Jazz|Music of New Orleans	
Benn Jordan	1979-10-28	1993		Acid techno|Ambient music|Breakcore|Drum and bass|Glitch (music)|Intelligent dance music|Modern classical	Rephlex
Sebastian Krumbiegel	1966-06-05	1981	Leipzig	A cappella|Pop music|Rock music	
Wade MacNeil	1984-05-05	2001	Hamilton, Ontario	Alternative rock|Folk punk|Goth rock|Hardcore punk|Post-hardcore|Punk rock	Dine Alone Records|Distort Entertainment
Max d'Ollone					
Lil' Fizz	1985-11-26	1998	New Orleans	Contemporary R&B|Hip Hop music	
Msafiri Zawose	1982-12-31	2003			
Russ Freeman (pianist)	1926-05-28		Chicago	Bebop|Cool jazz	
Copywrite (rapper)	1978-06-12	1998		Hip hop music	Amalgam Digital|Eastern Conference Records|Nature Sounds|Rawkus Records
Dale Griffin	1948-10-24			Glam rock|Hard rock|Rock music	Chrysalis|Vertigo Records
David Berman (musician)	1967-01-04	1989	Williamsburg, Virginia	Indie rock|Rock music	Domino Records|Drag City (record label)
Luis Szarán	1953-09-24		Encarnación, Paraguay		
K. Flay	1985-06-30	2004		Alternative Rock|Alternative hip hop|Hip-Hop Music|Independent music	Interscope Records|RCA Records
Colin Lester	1960-05-26	1979		Contemporary R&B|Disco|Indie rock|Pop music|Progressive rock|Rock and roll|Soul music	
Dennis Dunaway	1946-12-09		Cottage Grove, Oregon	Hard rock|Heavy metal music|Psychedelic rock|Rock music	
Fiona Horne	1966-06-24	1984		New wave music|Rock music	
Piko (singer)	1988-03-11	2009	Himeji, Hyōgo|Kobe		
Martin Brammer	1957-05-13	1980		Pop music|Rock music	
John Bonham	1948-05-31	1962		Rock music	Atlantic Records|Swan Song Records
Jill Corey	1935-09-30			Traditional pop	
Fumiya Fujii	1962-07-11		Fukuoka	J-Pop	Sony Music Japan
K Ja Nu		1970		Burmese pop	
Ale Dee		2000	Trois-Rivières	Hip hop music|Pop music|R&B	K.Pone.Inc
Anita Wilson	1976-06-19	2006	East St. Louis, Illinois	Christian music|Urban contemporary gospel	
Cheryl Bentyne	1954-01-17	1975	Mount Vernon, Washington	Vocal jazz	Columbia Records|Summit Records|Telarc International
Rowland Prichard					
Michael Riesman				Electronic music	
Paul Moak	1979-07-08	1998		Contemporary Christian music|Country music|Indie rock|Pop music|Rhythm and blues|Rock music|Soul music	
Antonique Smith	1983-08-11	2002	East Orange, New Jersey	Broadway theatre|Pop music|R&B	
An Youqi	1982-10-14	2004		Mandopop	Avex Group|EE-Media|Yuehua Entertainment
Jeff Cook	1949-08-27	1973	Fort Payne, Alabama	Country music|Country rock	RCA Records Nashville
Jodi Albert	1983-07-22	1998			
